,headline,newspaper,question,exclamation,starts_with_num,headline_words
44,woman hugs family 20 years apart,USA Today,0,0,0,6
45,child abuse charge dismissed alabama shakes drummer,USA Today,0,0,0,7
46,wake whiners covid pandemic raging nfl adapt,USA Today,0,0,0,7
47,the ultimate christmas music guide 50 songs,USA Today,0,0,0,7
48,cant cream cheese 20 replace holiday cheesecake,USA Today,1,0,0,7
49,need money advice finances delivered inbox sign here,USA Today,0,0,0,8
50,2021 teipei cultural creative sky creative festival boundary breaking,Liberty Times,0,0,1,9
51,great temperature difference immune loss immununity probiotics support,Liberty Times,1,0,0,8
52,both disagree votes broke 4 40 win final seal,Liberty Times,0,0,0,9
53,bidens large scale enterprise vaccine injunction orders court reasume execution,Liberty Times,0,0,0,10
54,portoguese medical nurses prentend christmas man children vaccinate happlily,Liberty Times,0,0,0,9
55,saturdays voting referendum passed threshold 4956367 votes,Liberty Times,0,0,0,7
56,tennis competes championship 2 weeks night market king zeng junxin portuguese landlords,Liberty Times,0,1,0,12
57,the ccp choking hit lithuania,Liberty Times,0,0,0,5
58,is normal postpartum hair loss doctor beware hair loss 1 year,Liberty Times,1,0,0,11
59,sony ps5 stack japanese sales hit record sold 200 units day,Liberty Times,0,0,0,11
60,hong kong holds election opposition people vote,The Wall Street Journal,1,0,0,7
61,sorry betty draper hostess style stifling cool,The Wall Street Journal,0,0,0,7
62,five tips conquer cold weather workouts,The Wall Street Journal,0,0,0,6
63,whats dollar 2022 eye ecb,The Wall Street Journal,1,0,0,5
64,will live cancerland,The Wall Street Journal,0,0,0,3
65,youtube tv loses disney channels including espn,The Wall Street Journal,0,0,0,7
66,the revolutionaries reboot internet,The Wall Street Journal,0,0,0,4
67,whats fund 7 yield,The Wall Street Journal,1,0,0,4
68,jurors start deliberating fate theranos founder,The Wall Street Journal,0,0,0,6
69,some cities turn decriminalizing drugs overdoses climb,The Wall Street Journal,0,0,0,7
70, 5 year plan turbocharge smes,China Daily,0,0,1,5
71, geopolitical expediency trumps democracy,China Daily,0,0,0,4
72,chinas epidemic situation control official,China Daily,0,0,0,5
73,prudent money policy stable credit growth sustain real economy,China Daily,0,0,0,9
74,oppo enters foldables,China Daily,0,0,0,3
75,20 years wto hails chinas efforts,China Daily,0,0,1,6
76,tibetan soccer goal success,China Daily,0,0,0,4
77,global debt reaches record 226 trln 2020 pandemic imf,China Daily,0,0,0,9
78,belarus central bank expects inflation reach 9 late 2021,China Daily,0,0,0,9
79,chinas 10 expensive cities business travelers,China Daily,0,0,0,6
80,whats happening brexit,The Indipendent,1,0,0,3
81,why female characters left reboot culture,The Indipendent,1,0,0,6
82,what covid restrictions wales christmas,The Indipendent,1,0,0,5
83,how reduce microplastic intake,The Indipendent,1,0,0,4
84,murder investigation man attacked barbers london,The Indipendent,0,0,0,6
85,straw goat sweden famed illegally burnt destroyed,The Indipendent,0,0,0,7
86,kim potter breaks tears describing moment shot daunte wright,The Indipendent,0,0,0,9
87,chris noth accused sexual assault woman,The Indipendent,0,0,0,6
88,philippines typhoon 19 dead widespread destruction,The Indipendent,0,0,0,6
89,truck toppled intense winds nebraska storm,The Indipendent,0,0,0,6
90,why effects vaccines experts working,Los Angeles Times,1,0,0,5
91,2021 year pictures,Los Angeles Times,0,0,1,3
92,lonely la 21 places experiences embrace it,Los Angeles Times,1,0,0,7
93,where love town guests eat la,Los Angeles Times,1,0,0,6
94,hollywood bard muse reveler eve babitz dies 78,Los Angeles Times,0,0,0,8
95,unprecedented die offs melting ice climate change wreaking havoc arctic beyond,Los Angeles Times,0,0,0,11
96,what spider man post credits scenes mcus future,Los Angeles Times,1,0,0,8
97,biden administration halts immigrant family detention now,Los Angeles Times,0,0,0,7
98,youve portraits la desert,Los Angeles Times,1,0,0,4
99,covid holidays check risks quiz,Los Angeles Times,0,0,0,5
100,gb emergency 25 cases omicron 10 day johnson evaluates lockdown christmas,La Repubblica,0,0,0,11
101,iss vax deaths 45 times higher dose,La Repubblica,0,0,0,7
102,the commissioner gianni triolo commits suicide office left note,La Repubblica,0,0,0,9
103,maneuver holds majority agreement amendments government text 4800 honorary magistrates stabilized,La Repubblica,0,0,0,11
104,the traffic police thief supermarket discover stolen eat pay lunch,La Repubblica,0,0,0,10
105,graziano mesina arrested symbol sardinian banditry,La Repubblica,0,0,0,6
106,ricci green pass school elementary middle high school dad letter appeal mayors government,La Repubblica,0,0,0,13
107,single christmas happy yourself,La Repubblica,0,0,0,4
108,today dogs wear designer labels influencers,La Repubblica,0,0,0,6
109,how eat raw fish risk advice expert,La Repubblica,1,0,0,7
110,ph logs 291 covid 19 infections active cases 9000,Philippine Daily Inquirer,0,0,0,9
111,man 60 dies seek shelter typhoon odette bohol,Philippine Daily Inquirer,0,0,0,8
112,explotion pakistan,Philippine Daily Inquirer,0,0,0,2
113,devastation robredo visits odette battered cebu,Philippine Daily Inquirer,0,0,0,6
114,lakers anthony davis exits knee injury,Philippine Daily Inquirer,0,0,0,6
115,case traveling skeletons manila court acquits peace consultants murder,Philippine Daily Inquirer,0,0,0,9
116,simbang gabi facing covid 19 hope,Philippine Daily Inquirer,0,0,0,6
117,whats golden golden rice,Philippine Daily Inquirer,1,0,0,4
118,why typhoons happen holidays,Philippine Daily Inquirer,1,0,0,4
119,how painful experience blessing kim chiu,Philippine Daily Inquirer,1,0,0,6
120,omicron travel curbs threaten wreck europes winter season,Financial Times,0,0,0,8
121,the big read running lives vulnerable boris johnson,Financial Times,1,0,0,8
122,russia publishes red security demands nato us,Financial Times,0,0,0,7
123,ghislaine maxwell declines testify defence rests,Financial Times,0,0,0,6
124,fed official rate rise march,Financial Times,0,0,0,5
125,russia publishes red security demands nato us,Financial Times,0,0,0,7
126,energy crisis europe gas,Financial Times,1,0,0,4
127,5 hot kitchen gadgets,Financial Times,0,0,1,4
128,the transformative power games,Financial Times,0,0,0,4
129,how spend tana french love small odd peoples daily lives,Financial Times,1,0,0,10
130,why houston bar serving pappy van winkle cost,Houston Chronicle,1,0,0,8
131,viral tiktok explain stuck 35,Houston Chronicle,0,0,0,5
132,15 football gifts favorite nfl fan,Houston Chronicle,0,0,1,6
133,where buy hot christmas toys cheapest prices,Houston Chronicle,1,0,0,7
134,what live texass christmas town,Houston Chronicle,1,0,0,5
135,houston trucker 110 years prison fatal pileup,Houston Chronicle,0,0,0,7
136,texas researchers release omicron variant winter projection models,Houston Chronicle,0,0,0,8
137,why houstons wildfire team prepping west texas blaze,Houston Chronicle,1,0,0,8
138,man organized online child porn groups prison time,Houston Chronicle,0,0,0,8
139,south african doctors signs omicron milder delta,Houston Chronicle,0,0,0,7
140,putin send suicide squads gps trackers ukraine,The Sun,0,0,0,7
141,omicron explosion hits 89 countries cases doubling days warns,The Sun,0,0,0,9
142,inside kims sick executions flamethrowers stone choking,The Sun,0,0,0,7
143,my boss walks underwear ive naked,The Sun,0,0,0,6
144,meet elon musks children,The Sun,0,0,0,4
145,why decembers moon called cold moon,The Sun,1,0,0,6
146,what earthsquale indonesia,The Sun,1,0,0,3
147,can spot deadly snake lurking familys christmas tree,The Sun,1,0,0,8
148,who elon musk meet billionaire owner tesla space x,The Sun,1,0,0,9
149,inside living hell ukraine city miles russian troops brink war,The Sun,0,0,0,10
150,five children killed wind threw inflatable bouncy castle 30ft named tragedy,Daily Mirror,0,0,0,11
151,google maps users fascinated sight appears stealth aircraft flying crop fields,Daily Mirror,0,0,0,11
152,north korea bans laughing birthdays mark 10 years kim jong uns rule,Daily Mirror,0,0,0,12
153,blaze rips building killing 27 people japan cops probe arson,Daily Mirror,0,0,0,10
154,taxi firm suspends tesla cars fatality horror smash busy city street,Daily Mirror,0,0,0,11
155,uk covid daily death toll hits 125 infections increase 44 week,Daily Mirror,0,0,0,11
156,ronaldo beats liverpool owners fsg purchase brazilian giants cruzeiro,Daily Mirror,0,0,0,9
157,gordon ramsays warning doctors chef told slow knee injury,Daily Mirror,0,0,0,9
158,lewis hamilton facing punishment snubbing max verstappen trophy gala,Daily Mirror,0,0,0,9
159,10 products year named number spot 70 soup maker,Daily Mirror,0,0,1,9
160,pope francis health pope retire,Daily Express,1,0,0,5
161,brexit christmas chaos expats spain hidden import taxes presents laid bare,Daily Express,0,0,0,11
162,german vaccine drive chaos health minister admits more,Daily Express,0,0,0,8
163,pinged test trace claim 500 covid 19 payment forced isolate,Daily Express,1,0,0,10
164,how clean kitchen time christmas need,Daily Express,1,0,0,6
165,spain holidays benidorm hotels forced close lack british tourists,Daily Express,0,0,0,9
166,woman 50 arrested prince andrews range rover attacked,Daily Express,0,0,0,8
167,lewis hamilton opened meghan markle greatest weekend ever,Daily Express,0,0,0,8
168,our superior bbc reporter dismantles frustrating france ban uk tourists,Daily Express,0,0,0,10
169,they dont border chief outlines strategy curb uk migration flow,Daily Express,0,0,0,10
170,why shouldnt expect biden shakeup,The Hill,1,0,0,5
171,what weve learned meadows documents,The Hill,1,0,0,5
172,10 mirrorless camera,The Hill,0,0,1,3
173,will kamala harris spiro agnew 2022,The Hill,1,0,0,6
174,democrats year reopening wounds,The Hill,0,0,0,4
175,white house putin mind invading ukraine,The Hill,0,0,0,6
176,harris biden administration didnt omicron coming,The Hill,0,0,0,6
177,biden family members commemorate death wife infant daughter,The Hill,0,0,0,8
178,rick scott white house hung him,The Hill,0,0,0,6
179,ex officer kim potter breaks stand testifying,The Hill,0,0,0,7
180,how mark meadows band loyalists fought trump power,Chicago Tribune,1,0,0,8
181,how student loan payment restart work,Chicago Tribune,1,0,0,6
182,how neighbors vote president senate graduated rate income tax amendment 2020,Chicago Tribune,1,0,0,11
183,gordon ramsay opens 1st chicago restaurant hells kitchen burger ketchup hot dogs,Chicago Tribune,0,0,0,12
184,new law shuttered metrosouth hospital blue island reopen long shot bid,Chicago Tribune,0,0,0,11
185,50 cookie recipes perfect holidays,Chicago Tribune,0,0,1,5
186,pritzker signs measure repeal requirement minors seeking abortions notify parents,Chicago Tribune,0,0,0,10
187,space illinois hospitals time pandemic patients flood workers burn out,Chicago Tribune,0,0,0,10
188,schools enter holiday break covid 19 surging remote learning comeback,Chicago Tribune,1,0,0,10
189,how redefines spider man,Chicago Tribune,1,0,0,4
190,queen guitarist brian tests positive covid,The Hollywood Reporter,0,0,0,6
191,chris noth dropped a3 artists agency assault accusations,The Hollywood Reporter,0,0,0,8
192,hollywoods cinerama dome plans reopen 2022,The Hollywood Reporter,0,0,0,6
193,hbo strikes deal texas monthly,The Hollywood Reporter,0,0,0,5
194,ben affleck shares reservation rekindling jennifer lopez relationship,The Hollywood Reporter,0,0,0,8
195,parasite star park dam diagnosed cancer,The Hollywood Reporter,0,0,0,6
196,cowboy bebop canceled netflix season,The Hollywood Reporter,0,0,0,5
197,where celebrate holidays los angeles ,The Hollywood Reporter,1,0,0,5
198,chris noth dropped a3 artists agency assault accusations,The Hollywood Reporter,0,0,0,8
199,chelsea handler jo koy finding love laughs equity tour,The Hollywood Reporter,0,0,0,9
200,hong kong accuses activists inciting poll boycott,The Hindu,0,0,0,7
201,europeans reimpose restrictions omicron sweeps continent,The Hindu,0,0,0,6
202,nord stream wont open russia attacks ukraine germany,The Hindu,0,0,0,8
203,russia sends bombers patrol belarus,The Hindu,0,0,0,5
204,gas explosion sewer kills 10 southern pakistan city,The Hindu,0,0,0,8
205,omicron cases doubling 15 3 days areas local spread who,The Hindu,0,0,0,10
206,who emergency approval covovax vaccine,The Hindu,0,0,0,5
207,miss finale postponed covid 19 fears,The Hindu,0,0,0,6
208,12 killed massive blast pakistans karachi city,The Hindu,0,0,1,7
209,ethiopia claims retaking towns tigray rebels,The Hindu,0,0,0,6
210,covid christmas cancellation again,The Sydney Morning Herald,0,0,0,4
211,teenager dies falling sydney lake,The Sydney Morning Herald,0,0,0,5
212,what word year australia today,The Sydney Morning Herald,1,0,0,5
213,he survived death sentence write greatest novels time,The Sydney Morning Herald,0,0,0,8
214,explosion pakistan bank kills dozen,The Sydney Morning Herald,0,0,0,5
215,white white red red always,The Sydney Morning Herald,1,0,0,5
216,swedens giant christmas goat torched long running prank,The Sydney Morning Herald,0,0,0,8
217,boris johnsons christmas party investigator quits lockdown celebration exposed,The Sydney Morning Herald,0,0,0,9
218,man vaccinated 10 times day,The Sydney Morning Herald,0,0,0,5
219,denmark shut public venues covid infections rise,The Sydney Morning Herald,0,0,0,7
220,voters deserve clear neutral ballot summaries titles,Daily News,0,0,0,7
221,la county accept amended bruces beach deed ,Daily News,0,0,0,7
222,lapd seeks man suspected 60 burglaries san fernando valley,Daily News,0,0,0,9
223,voters deserve clear neutral ballot summaries titles,Daily News,0,0,0,7
224,live updates early football signing period southern california,Daily News,0,0,0,8
225,russia hands draft security pacts expects quick talks,Daily News,0,0,0,8
226,q&a supply chain mess stanford professor answers,Daily News,1,0,0,7
227,hurricane force winds batter midwest leave 5 dead,Daily News,0,0,0,8
228,more la county supervisors latest redistricting process prompts calls change,Daily News,1,0,0,10
229,i disneyland genie know,Daily News,0,0,0,4
230,indian origin couple jailed abusing maid obstructing justice singapore,The Indian Express,0,0,0,9
231,canada issues priorities immigration system,The Indian Express,0,0,0,5
232,biden struggles beat resurgent virus again,The Indian Express,0,0,0,6
233,russia lays demands sweeping security deal nato,The Indian Express,0,0,0,7
234,how ashley bidens diary project veritas,The Indian Express,1,0,0,6
235,oldest person china dies 135,The Indian Express,0,0,0,5
236,12 killed massive blast pakistans karachi city,The Indian Express,0,0,1,7
237,9 movies watch weekend,The Indian Express,0,0,1,4
238,how regulate ban killer robots,The Indian Express,1,0,0,5
239,can booster shots fight omicron,The Indian Express,1,0,0,5
240,omicron death toll rises 85 cases hospital,Metro,0,0,0,7
241,will london underwater 2050,Metro,1,0,0,4
242,woman arrested boys killed house bailed,Metro,0,0,0,6
243,parade ice cream vans follow touching funeral procession fellow seller,Metro,0,0,0,10
244,unvaccinated children exposed covid allowed stay school cdc testing rule,Metro,0,0,0,10
245,store today daily horoscope monday december 20 2021,Metro,1,0,0,8
246,omicron spreading faster delta 89 countries,Metro,0,0,0,6
247,how celebrate safely christmas,Metro,1,0,0,4
248,pubs restaurants close 8pm ireland omicron fears,Metro,0,0,0,7
249,five children dead bouncy castle blown 30ft air australia,Metro,0,0,0,9
250,russia set demands nato refuse,The Globe and Mail,0,0,0,5
251,pope meets migrants birthday,The Globe and Mail,0,0,0,4
252,new york tallies record covic 19 cases rockettes cancel season,The Globe and Mail,0,0,0,10
253,modernas covid 19 vaccine rare heart inflammation pfizers study shows,The Globe and Mail,0,0,0,10
254,hong kong patriots election defines drammatic beijing,The Globe and Mail,0,0,0,7
255,indonesia riases semeru volcano alert gearinf eruption,The Globe and Mail,0,0,0,7
256,labor board certifies union starbucks store,The Globe and Mail,0,0,0,6
257,deadly typhoon destroys parts philippines,The Globe and Mail,0,0,0,5
258,head probe uk covid 19 lockdown parties drops event,The Globe and Mail,0,0,0,9
259,us issues stark warnings omicron variant takes hold adopts measures slow rise,The Globe and Mail,0,0,0,12
260,do minnesotans license plates caught,Star Tribune,1,0,0,5
261,timberwolves climb 500 beating dallas 111 105 fourth victory row,Star Tribune,0,0,0,10
262,what minnesota name,Star Tribune,1,0,0,3
263,7 family members dead moorhead home,Star Tribune,0,0,1,6
264,manchin backing democrats 2t dooming it,Star Tribune,0,0,0,6
265,updated twin cities restaurants require proof vaccination,Star Tribune,1,0,0,7
266,the 5 food writers ate twin cities year,Star Tribune,0,0,0,8
267,how avoid overboard kids holiday gifts,Star Tribune,1,0,0,6
268,incoming minneapolis council sounds note caution rent control,Star Tribune,0,0,0,8
269,demand 12 tutors skyrockets parents schools seek extra struggling students,Star Tribune,0,0,0,10
270,how miscast nicole kidman lucille ball digging highs lows being ricardos,Daily Pilot,1,0,0,11
271,omicron sweeping california staggering speed raising alarms,Daily Pilot,0,0,0,7
272,flood watch declared orange county rainfall,Daily Pilot,0,0,0,6
273,mothers market kitchen opens location corona del mar,Daily Pilot,0,0,0,8
274,a holiday season overshadowed covid 19 threat,Daily Pilot,0,0,0,7
275,orange county records case omicron variant,Daily Pilot,0,0,0,6
276,huntington beach city council votes continue discussion legal counsel,Daily Pilot,0,0,0,9
277,laguna beach police department add service dogs k9 vehicle donations,Daily Pilot,0,0,0,10
278,laguna beach surveying residents shape future,Daily Pilot,0,0,0,6
279,driver takes stolen firetruck joyride orange county,Daily Pilot,0,0,0,7
280,how boat inexperienced transit workers wrecked mtas boat,New York Post,1,0,0,8
281,7 people including kids dead home,New York Post,0,0,1,6
282,grim milestone york surpasses 60000 deaths covid 19 pandemic,New York Post,0,0,0,9
283,how michele tafoya anti vegetable al michaels eat brussels sprouts,New York Post,1,0,0,10
284,no beef knicks star coach palpable,New York Post,0,0,0,6
285,cardi scraps dolls production delays poor quality,New York Post,0,0,0,7
286,do ya guilty rod stewart son enter plea nye battery case,New York Post,0,0,0,11
287,29 year texas woman announces pregnant 9th baby boy,New York Post,0,0,1,9
288,25 amazon products ny post readers obsessed 2021,New York Post,0,0,1,8
289,smells christmas diy fragrance viral tiktok,New York Post,0,0,0,6
290,how good steak dinner protect heart,The Epoch Times,1,0,0,6
291,biden declares victory christmas supply chain crisis white house,The Epoch Times,0,0,0,9
292,could undiagnosed diabetes,The Epoch Times,1,0,0,3
293,surprising ways covid 19 destroy immune system,The Epoch Times,0,0,0,7
294,austria adds 10 days unvaccinated only lockdown,The Epoch Times,0,0,0,7
295,omicron 70 percent result hospitalization uk health security agency,The Epoch Times,0,0,0,9
296,champagne shortage push prices bubbly holidays,The Epoch Times,0,0,0,6
297,russia regulators fine twitter 10 roubles allegedly failing delete banned content,The Epoch Times,0,0,0,11
298,mom preserves christmas tree teen son decorated died,The Epoch Times,0,0,0,8
299,peng story sexual assault allegations interview marxism american education,The Epoch Times,0,0,0,9
